Round,Twitter_F1,News_F1,Reports_F1,Avg_F1
1,0.8017823540923392,0.8804625733968402,0.8092162784485321,0.8304870686459038
2,0.8048176003507869,0.8874499317417843,0.804868846561509,0.8323787928846933
3,0.8105615507873344,0.9021291434525638,0.8257993937401221,0.8461633626600068
4,0.8101111408440177,0.8982008628905627,0.8132737891409375,0.8405285976251727
5,0.8002838605028386,0.9153963959593276,0.830401284112849,0.8486938468583384
6,0.8196340400813245,0.8926424738487015,0.8182800580737771,0.8435188573346011
7,0.8209724741336496,0.9007979389347792,0.8264960662149063,0.8494221597611117
8,0.8164738292011019,0.9019046962308426,0.8245787363112773,0.847652420581074
9,0.8206749771967163,0.9018805533491852,0.8176588989557267,0.8467381431672094
10,0.8167909604334918,0.9071602715538618,0.8149843744103249,0.846311868799226
