Round,Twitter_F1,News_F1,Reports_F1,Avg_F1
1,0.5899995145519442,0.3664477151639239,0.5109246806968081,0.4891239701375587
2,0.7380199237756322,0.803330778216237,0.7555634969018356,0.7656380662979015
3,0.7593319661211125,0.8847660810759388,0.8214974245844282,0.821865157260493
4,0.7821633103282248,0.8582833184271581,0.8039824411781198,0.8148096899778343
5,0.7722359986899358,0.8850608059908321,0.8159898207134862,0.824428875131418
6,0.7885534379040873,0.883154508443909,0.814824963267467,0.8288443032051545
7,0.7938559145170715,0.8914819001051291,0.8192366031301929,0.8348581392507978
8,0.7828469156883415,0.9088352924757086,0.8363014080485953,0.8426612054042151
9,0.8031216602404045,0.8969332646357764,0.8240926590175321,0.841382527964571
10,0.8012689327574118,0.927637670876256,0.8363101849125447,0.8550722628487376
